source,target,count,prob_given_source,target_predecessor_share,reverse_count,asymmetry_count,asymmetry_ratio,expected_independent,lift,book,run_label,stream_type
zaqef_qatan,geresh,1,0.0007734,0.00408163,1,0,1.0,24.787559,0.040343,deuteronomy,control_exclude_meteg,full
merkha,gershayim,1,0.00062539,0.00917431,6,-5,0.16666667,13.637793,0.073326,deuteronomy,control_exclude_meteg,full
paseq,segol,1,0.01219512,0.01470588,0,1,inf,0.436307,2.291966,deuteronomy,control_exclude_meteg,full
sof_pasuq,atnah,1,0.00104932,0.00109649,5,-4,0.2,68.007512,0.014704,deuteronomy,control_exclude_meteg,full
zaqef_gadol,telisha_qetana,1,0.01428571,0.00847458,0,1,inf,0.646322,1.547215,deuteronomy,control_exclude_meteg,full
sof_pasuq,zaqef_qatan,1,0.00104932,0.0007734,1,0,1.0,96.418545,0.010371,deuteronomy,control_exclude_meteg,full
darga,darga,1,0.00478469,0.00478469,1,0,1.0,3.417919,0.292576,deuteronomy,control_exclude_meteg,full
darga,tipeha,1,0.00478469,0.00053908,0,1,inf,30.336072,0.032964,deuteronomy,control_exclude_meteg,full
zarqa,segol,1,0.5,0.01470588,0,1,inf,0.010642,93.970588,deuteronomy,control_exclude_meteg,full
pazer,qadma,1,0.02857143,0.00227273,0,1,inf,1.205008,0.82987,deuteronomy,control_exclude_meteg,full
pashta,gershayim,1,0.00082102,0.00917431,0,1,inf,10.388263,0.096262,deuteronomy,control_exclude_meteg,full
zaqef_gadol,munah,1,0.01428571,0.00055218,0,1,inf,9.919405,0.100812,deuteronomy,control_exclude_meteg,full
segol,tevir,1,0.01470588,0.00209644,0,1,inf,2.538028,0.394007,deuteronomy,control_exclude_meteg,full
telisha_qetana,telisha_qetana,1,0.00847458,0.00847458,1,0,1.0,1.089515,0.91784,deuteronomy,control_exclude_meteg,full
pazer,geresh,1,0.02857143,0.00408163,0,1,inf,0.67097,1.490379,deuteronomy,control_exclude_meteg,full
darga,merkha,1,0.00478469,0.00062539,0,1,inf,26.149531,0.038242,deuteronomy,control_exclude_meteg,full
tevir,qadma,1,0.00209644,0.00227273,0,1,inf,16.422535,0.060892,deuteronomy,control_exclude_meteg,full
gershayim,telisha_gedola,1,0.00917431,0.01492537,8,-7,0.125,0.57144,1.749966,deuteronomy,control_exclude_meteg,full
telisha_gedola,darga,1,0.01492537,0.00478469,0,1,inf,1.095696,0.912662,deuteronomy,control_exclude_meteg,full
segol,geresh,1,0.01470588,0.00408163,0,1,inf,1.303599,0.767107,deuteronomy,control_exclude_meteg,full
pashta,tipeha,1,0.00082102,0.00053908,2,-1,0.5,176.79108,0.005656,deuteronomy,control_exclude_meteg,full
pashta,merkha,1,0.00082102,0.00062539,36,-35,0.02777778,152.392958,0.006562,deuteronomy,control_exclude_meteg,full
zarqa,munah,1,0.5,0.00055218,2,-1,0.5,0.283412,3.528437,deuteronomy,control_exclude_meteg,full
segol,telisha_gedola,1,0.01470588,0.01492537,0,1,inf,0.356495,2.805092,deuteronomy,control_exclude_meteg,full
zaqef_gadol,sof_pasuq,1,0.01428571,0.00104822,18,-17,0.05555556,5.225352,0.191375,deuteronomy,control_exclude_meteg,full
