from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P7-9_A6-7_C1,P<=4_A4_C0,14,0.05809129,0.05278842,1.10045509,12.686,3.18806077,0.412163,0.39720559,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P5-6_A4_C0,P<=4_A2_C0,10,0.06711409,0.06087697,1.10245459,9.046,2.88522669,0.33065,0.41516966,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P5-6_A5_C0,P7-9_A6-7_C1,13,0.11016949,0.10259685,1.07380969,12.2,3.38569429,0.236288,0.45508982,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P5-6_A5_C0,13,0.05394191,0.05023414,1.07380969,12.248,3.28085721,0.229208,0.48502994,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P10-12_A8+_C2,P5-6_A4_C0,9,0.06870229,0.06385696,1.07587786,8.506,2.76065326,0.178943,0.49301397,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P7-9_A8+_C2,P<=4_A3_C0,9,0.10843373,0.10344828,1.04819277,8.64,2.70203664,0.133233,0.49301397,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P7-9_A8+_C2,9,0.03703704,0.03533418,1.04819277,8.774,2.63073479,0.085908,0.51696607,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A4_C0,13,0.05349794,0.05278842,1.01344086,12.866,3.50379754,0.038244,0.51297405,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P7-9_A6-7_C1,25,0.10288066,0.10259685,1.00276625,24.872,4.47612415,0.028596,0.51497006,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P5-6_A5_C1,P<=4_A3_C0,15,0.10135135,0.10344828,0.97972973,15.332,3.42011262,-0.097073,0.59680639,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P7-9_A6-7_C1,P5-6_A4_C0,15,0.06224066,0.06385696,0.9746888,15.36,3.56985823,-0.100844,0.58283433,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P5-6_A4_C0,P5-6_A5_C1,9,0.06040268,0.06300553,0.95868855,9.482,2.7240626,-0.176942,0.60479042,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
P<=4_A3_C0,P10-12_A8+_C2,13,0.05349794,0.05576841,0.95928753,13.612,3.36215171,-0.182026,0.6247505,upper,screening_selected_transition,exodus,major,transition_bucket_shape,accent_words
