from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P9_A10_C2,P3_A3_C0,10,0.52631579,0.04847987,10.85637823,0.992,0.93564831,9.627549,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P3_A3_C0,P14_A14_C2,7,0.05932203,0.005341,11.10691004,0.628,0.70683411,9.014845,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P4_A4_C0,P12_A11_C1,5,0.05154639,0.00287592,17.92341679,0.312,0.57268479,8.186004,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P12_A12_C1,P5_A5_C0,6,0.6,0.04889071,12.27226891,0.532,0.67140086,8.144166,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P6_A6_C0,P7_A8_C0,4,0.09090909,0.0061627,14.75151515,0.256,0.4974473,7.526425,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P2_A2_C0,P5_A6_C0,9,0.15254237,0.02259655,6.75069337,1.372,1.09104423,6.991467,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P3_A5_C0,P3_A3_C0,8,0.36363636,0.04847987,7.50077042,0.932,1.02546688,6.89247,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P4_A5_C1,P4_A5_C1,4,0.14814815,0.01109285,13.35528121,0.352,0.55617743,6.559058,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P2_A2_C0,P3_A5_C0,5,0.08474576,0.00903862,9.37596302,0.516,0.7125834,6.292597,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P12_A11_C1,P5_A5_C0,4,0.57142857,0.04889071,11.68787515,0.348,0.59016028,6.188149,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P6_A6_C1,P2_A2_C0,10,0.12820513,0.02423993,5.28900478,1.828,1.34374051,6.081531,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P5_A5_C0,P6_A5_C1,9,0.07563025,0.01396878,5.41423628,1.728,1.2049163,6.035274,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P3_A4_C0,P8_A7_C1,8,0.08510638,0.01725555,4.93211753,1.604,1.17503482,5.443243,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P4_A5_C0,P7_A5_C1,3,0.04225352,0.00451931,9.34955186,0.272,0.50501103,5.401862,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P7_A9_C1,P4_A3_C0,3,0.23076923,0.02054232,11.23384615,0.264,0.51708171,5.291233,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P6_A5_C0,P2_A3_C0,4,0.21052632,0.02506163,8.40034513,0.416,0.67881304,5.279804,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P5_A6_C0,P6_A6_C1,8,0.14545455,0.03204601,4.53892774,1.788,1.2086768,5.139505,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P4_A4_C1,P2_A3_C0,4,0.16,0.02506163,6.3842623,0.548,0.68231828,5.059223,0.00398406,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
P5_A4_C0,P7_A7_C0,3,0.11538462,0.00903862,12.76573427,0.304,0.54106841,4.982734,0.00796813,upper,screening_selected_transition,numbers,major,transition_exact_shape,taam_events
