from_shape,to_shape,count,p_to_given_from,p_to_background,lift,book,level,shape_field,transition_accent_mode
P3_A3_C0,P6_A6_C0,14,0.02157165,0.02262644,0.95338228,exodus,minor,transition_exact_shape,taam_events
P4_A4_C0,P5_A6_C0,13,0.02863436,0.02040816,1.4030837,exodus,minor,transition_exact_shape,taam_events
P5_A6_C0,P3_A3_C0,13,0.14130435,0.14396628,0.98151002,exodus,minor,transition_exact_shape,taam_events
P4_A3_C0,P5_A5_C0,13,0.04377104,0.05323869,0.82216611,exodus,minor,transition_exact_shape,taam_events
P2_A2_C0,P5_A4_C0,13,0.026,0.04436557,0.58604,exodus,minor,transition_exact_shape,taam_events
P4_A5_C0,P1_A1_C0,13,0.07514451,0.05102041,1.47283237,exodus,minor,transition_exact_shape,taam_events
P6_A6_C0,P4_A4_C0,13,0.12745098,0.10070985,1.26552647,exodus,minor,transition_exact_shape,taam_events
P3_A3_C0,P1_A2_C0,13,0.02003082,0.01308784,1.53049019,exodus,minor,transition_exact_shape,taam_events
P4_A3_C0,P1_A1_C0,13,0.04377104,0.05102041,0.85791246,exodus,minor,transition_exact_shape,taam_events
P4_A5_C0,P4_A3_C0,13,0.07514451,0.06588287,1.14057726,exodus,minor,transition_exact_shape,taam_events
P3_A3_C0,P5_A6_C0,12,0.01848998,0.02040816,0.90600924,exodus,minor,transition_exact_shape,taam_events
P3_A2_C0,P2_A3_C0,12,0.08450704,0.05700976,1.48232586,exodus,minor,transition_exact_shape,taam_events
P4_A4_C0,P3_A2_C0,12,0.02643172,0.03149956,0.83911398,exodus,minor,transition_exact_shape,taam_events
P5_A4_C0,P4_A3_C0,12,0.06,0.06588287,0.91070707,exodus,minor,transition_exact_shape,taam_events
P3_A4_C0,P6_A5_C0,12,0.02933985,0.02018634,1.45345119,exodus,minor,transition_exact_shape,taam_events
P2_A3_C0,P1_A1_C0,12,0.04669261,0.05102041,0.9151751,exodus,minor,transition_exact_shape,taam_events
P4_A4_C0,P7_A6_C0,12,0.02643172,0.0135315,1.9533473,exodus,minor,transition_exact_shape,taam_events
P6_A6_C0,P2_A2_C0,12,0.11764706,0.11091393,1.06070588,exodus,minor,transition_exact_shape,taam_events
P5_A5_C0,P6_A6_C0,12,0.05,0.02262644,2.20980392,exodus,minor,transition_exact_shape,taam_events
P1_A1_C0,P2_A3_C0,12,0.05194805,0.05700976,0.9112133,exodus,minor,transition_exact_shape,taam_events
